stall_id,stall_name,food_name,food_id,food_price,food_categories
15,Puroy's Eatery,Hotdog,232,₱55.00,"Rice Meal, Hot"
15,Puroy's Eatery,Iced Coffee,233,₱30.00,
15,Puroy's Eatery,Iced Coffee L,234,₱45.00,"Beverage, Cold"
15,Puroy's Eatery,Iced Coffee M,235,₱35.00,"Beverage, Cold"
15,Puroy's Eatery,Iced Coffee S,236,₱25.00,"Beverage, Cold"
15,Puroy's Eatery,Iced Fudge 16oz,237,₱60.00,
15,Puroy's Eatery,Kikiam 10pcs,238,₱25.00,"Street Food, Hot"
15,Puroy's Eatery,Kwek Kwek 4pcs,239,₱25.00,"Street Food, Hot"
15,Puroy's Eatery,Lemonade 16oz,240,₱25.00,"Beverage, Cold"
15,Puroy's Eatery,Lemonade 22oz,241,₱35.00,"Beverage, Cold"
15,Puroy's Eatery,Lumpiang Toge,242,₱25.00,"Street Food, Hot"
15,Puroy's Eatery,Luncheon Meat ,243,₱55.00,"Rice Meal, Hot"
15,Puroy's Eatery,Mais Con Yelo,244,₱40.00,"Beverage, Cold"
15,Puroy's Eatery,Mango Tapioca,245,₱50.00,"Beverage, Cold"
15,Puroy's Eatery,Milo Oreo L,246,₱45.00,"Beverage, Cold"
15,Puroy's Eatery,Milo Oreo M,247,₱35.00,"Beverage, Cold"
15,Puroy's Eatery,Milo Oreo S,248,₱25.00,"Beverage, Cold"
15,Puroy's Eatery,Nata Con Yelo,249,₱40.00,
15,Puroy's Eatery,Nuggets,250,₱55.00,"Rice Meal, Hot"
15,Puroy's Eatery,Pancake,251,₱35.00,"Snack, Hot"
15,Puroy's Eatery,Pancit Canton,252,₱30.00,"Snack, Hot"
15,Puroy's Eatery,Plain Hungarian Sausage w/ Rice,253,₱64.00,"Rice Meal, Hot"
15,Puroy's Eatery,Real Fruit Avocado L,254,₱45.00,"Beverage, Cold"
15,Puroy's Eatery,Real Fruit Avocado M,255,₱35.00,"Beverage, Cold"
15,Puroy's Eatery,Real Fruit Avocado S,256,₱25.00,"Beverage, Cold"
15,Puroy's Eatery,Real Fruit Mango L,257,₱45.00,"Beverage, Cold"
15,Puroy's Eatery,Real Fruit Mango M,258,₱35.00,"Beverage, Cold"
15,Puroy's Eatery,Real Fruit Mango S,259,₱25.00,"Beverage, Cold"
